,協和#1,協和#2,協和#3,協和#4,台中#1,台中#2,台中#3,台中#4,台中#5,台中#6,台中#7,台中#8,台中#9,台中#10,台中Gas1&2,台中Gas3&4,南部CC#1,南部CC#2,南部CC#3,南部CC#4,烏來&桂山&粗坑,桂山發電廠,桂山發電廠.1,桂山發電廠.2,桂山發電廠.3,翡翠#1,桂山發電廠.4,林口#1,林口#2,麥寮#1,麥寮#2,麥寮#3,國光#1,星彰#1,星元#1,嘉惠#1
2016/12/17 05:40,-8.74362628074,-8.74362628074,-8.74362628074,-8.74362628074,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-11.6934165276,-12.4630822636,-12.4630822636,-12.4630822636,-12.4630822636,18.3989724375,18.3989724375,18.3989724375,18.3989724375,18.3989724375,18.3989724375,18.3989724375,-6.13163894567,-6.13163894567,-5.39275358321,-5.39275358321,-5.39275358321,-7.24709243256,0.689050372904,0.634915532395,5.58484793248
2016/12/17 05:50,-8.00894358521,-8.00894358521,-8.00894358521,-8.00894358521,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-7.90903263717,-9.59334349444,-9.59334349444,-9.59334349444,-9.59334349444,18.2163782068,18.2163782068,18.2163782068,18.2163782068,18.2163782068,18.2163782068,18.2163782068,-5.88328650819,-5.88328650819,-4.44967984189,-4.44967984189,-4.44967984189,-6.78201896613,-0.28073799625,-0.258520271333,6.25063298065
2016/12/17 06:00,-7.5236699161,-7.5236699161,-7.5236699161,-7.5236699161,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-7.76794824071,-6.36376260789,-6.36376260789,-6.36376260789,-6.36376260789,16.646025464,16.646025464,16.646025464,16.646025464,16.646025464,16.646025464,16.646025464,-5.89447104198,-5.89447104198,-3.75563131275,-3.75563131275,-3.75563131275,-6.97829913757,-0.22369500602,-0.206715356941,6.66657245989
2016/12/17 06:10,-7.1939753529,-7.1939753529,-7.1939753529,-7.1939753529,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-5.50127648887,-4.0656343509,-4.0656343509,-4.0656343509,-4.0656343509,20.0561212721,20.0561212721,20.0561212721,20.0561212721,20.0561212721,20.0561212721,20.0561212721,-7.00538607788,-7.00538607788,-2.78042706645,-2.78042706645,-2.78042706645,-7.66472714926,-1.55317057138,-1.50185458701,6.91328564215
2016/12/17 06:20,-7.4618264965,-7.4618264965,-7.4618264965,-7.4618264965,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-5.56214672304,-4.1891680983,-4.1891680983,-4.1891680983,-4.1891680983,19.3694112448,19.3694112448,19.3694112448,19.3694112448,19.3694112448,19.3694112448,19.3694112448,-5.90206910772,-5.90206910772,-2.84903657849,-2.84903657849,-2.84903657849,-6.55650981069,-1.38091790758,-1.30742134552,7.96954414004
2016/12/17 06:30,-5.53741350271,-5.53741350271,-5.53741350271,-5.53741350271,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-4.87206879871,-2.46511765015,-2.46511765015,-2.46511765015,-2.46511765015,14.1027917084,14.1027917084,14.1027917084,14.1027917084,14.1027917084,14.1027917084,14.1027917084,-5.04328352437,-5.04328352437,-3.25828862498,-3.25828862498,-3.25828862498,-6.8416715389,-1.00567717875,-0.941012058319,8.19830402402
2016/12/17 06:40,-5.45232604891,-5.45232604891,-5.45232604891,-5.45232604891,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-5.45625933483,-2.53725718131,-2.53725718131,-2.53725718131,-2.53725718131,15.1430961062,15.1430961062,15.1430961062,15.1430961062,15.1430961062,15.1430961062,15.1430961062,-5.21388983041,-5.21388983041,-1.88427004345,-1.88427004345,-1.88427004345,-6.79766380596,-1.67949942577,-1.61325164739,8.17237384608
2016/12/17 06:50,-2.78527885922,-2.78527885922,-2.78527885922,-2.78527885922,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-4.39506594216,-0.899353800907,-0.899353800907,-0.899353800907,-0.899353800907,12.8437409354,12.8437409354,12.8437409354,12.8437409354,12.8437409354,12.8437409354,12.8437409354,-5.53770145999,-5.53770145999,-2.756481993,-2.756481993,-2.756481993,-6.89289660019,-2.01359728957,-1.96060594731,8.21616202533
2016/12/17 07:00,-5.82056872079,-5.82056872079,-5.82056872079,-5.82056872079,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-7.27565224685,-0.446654845348,-0.446654845348,-0.446654845348,-0.446654845348,12.2294566992,12.2294566992,12.2294566992,12.2294566992,12.2294566992,12.2294566992,12.2294566992,-4.54849336385,-4.54849336385,-3.27472654202,-3.27472654202,-3.27472654202,-5.55940998682,-2.50418413093,-2.39538989302,11.3900140662
2016/12/17 07:10,-2.99662636347,-2.99662636347,-2.99662636347,-2.99662636347,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,-3.38417383278,2.15264952024,2.15264952024,2.15264952024,2.15264952024,16.0050187586,16.0050187586,16.0050187586,16.0050187586,16.0050187586,16.0050187586,16.0050187586,-4.82387488003,-4.82387488003,-4.79874818699,-4.79874818699,-4.79874818699,-5.84073226424,-2.25645551255,-2.20096459255,10.7112382401
