電廠名稱,地址,緯度,經度,機組名稱,商轉日期,裝置容量(瓩),燃料種類
桂山發電廠,23160 新北市新店區桂山路37號,24.903,121.560642,烏來#2機,39.12,"11,250",水
桂山發電廠,23160 新北市新店區桂山路37號,24.903,121.560642,桂山#1機,30.12,"6,500",水
桂山發電廠,23160 新北市新店區桂山路37號,24.903,121.560642,桂山#2機,30.12,"6,500",水
桂山發電廠,23160 新北市新店區桂山路37號,24.903,121.560642,粗坑,81.7.31,"5,000",水
翡翠#1,23160 新北市新店區桂山路37號,24.903,121.560642,翡翠,75.8.28,"70,000",水
桂山發電廠,23160 新北市新店區桂山路37號,24.903,121.560642,軟橋,82.1.30,220,水
石門#1,32547 桃園市龍潭鄉大平村石門寮,24.813339,121.244435,石門#1機,53.01,"45,000",水
石門#2,32547 桃園市龍潭鄉大平村石門寮,24.813339,121.244435,石門#2機,53.01,"45,000",水
義興#1,32547 桃園市龍潭鄉大平村石門寮,24.776687,121.363234,義興,72.07.15,"40,000",水
卓蘭#1,36943 苗栗縣卓蘭鎮景山里電廠一號,24.348003,120.871764,卓蘭#1機,91.01.30,"40,000",水
卓蘭#2,36943 苗栗縣卓蘭鎮景山里電廠一號,24.348003,120.871764,卓蘭#2機,91.06.06,"40,000",水
萬大#1,54651 南投縣仁愛鄉親愛村大安路1號,23.976623,121.134863,萬大#1機,46.07,"10,350",水
萬大#2,54651 南投縣仁愛鄉親愛村大安路1號,23.976623,121.134863,萬大#2機,46.07,"10,350",水
萬大#3,54651 南投縣仁愛鄉親愛村大安路1號,23.976623,121.134863,萬大#3機,32.03,"15,300",水
萬大#4,54651 南投縣仁愛鄉親愛村大安路1號,23.976623,121.134863,萬大#4機,101.9.18,"19,700",水
松林#1&2,54651 南投縣仁愛鄉親愛村大安路1號,23.976623,121.134863,松林#1機,101.12.27,"18,200",水
萬大發電廠,54651 南投縣仁愛鄉親愛村大安路1號,23.976623,121.134863,松林#2機,101.12.27,"2,700",水
大觀一#1,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀一廠#1機,23.07,"22,000",水
大觀一#2,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀一廠#2機,23.07,"22,000",水
大觀一#3,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀一廠#3機,23.07,"22,000",水
大觀一#4,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀一廠#4機,23.07,"22,000",水
大觀一#5,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀一廠#5機,23.07,"22,000",水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀二廠#1機,74.09,"250,000",水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀二廠#2機,74.09,"250,000",水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀二廠#3機,74.09,"250,000",水
大觀發電廠,55345 南投縣水里鄉車埕村明潭巷73號,23.854487,120.869554,大觀二廠#4機,74.09,"250,000",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,明潭#1機,83.01.02,"267,000",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,明潭#2機,84.02.10,"267,000",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,明潭#3機,83.01.04,"267,000",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,明潭#4機,84.02.16,"267,000",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,明潭#5機,82.12.27,"267,000",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,明潭#6機,83.01.30,"267,000",水
水里#1,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,水里,81.09.07,"12,800",水
鉅工#1,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,鉅工#1機,26.08,"21,750",水
鉅工#2,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,鉅工#2機,26.08,"21,750",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,濁水,100.03.01,"3,607",水
明潭發電廠,55345 南投縣水里鄉車埕村民權巷125號,23.834202,120.867303,北山,78.07.19,"4,320",水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,24.182837,120.925016,后里#1機,1.07,475,水
大甲溪發電廠,42441台中市和平區天輪里東關路二段89-1號,24.182837,120.925016,后里#2機,1.07,475,水
德基#1,42441台中市和平區天輪里東關路二段89-1號,24.254167,121.165278,德基#1機,63.06,"78,000",水
德基#2,42441台中市和平區天輪里東關路二段89-1號,24.254167,121.165278,德基#2機,63.06,"78,000",水
德基#3,42441台中市和平區天輪里東關路二段89-1號,24.254167,121.165278,德基#3機,63.06,"78,000",水
青山#1,42441台中市和平區天輪里東關路二段89-1號,24.249444,121.106389,青山一機,104.12.29,"92,000",水
青山#2,42441台中市和平區天輪里東關路二段89-1號,24.249444,121.106389,青山二機,104.12.29,"92,000",水
青山#3,42441台中市和平區天輪里東關路二段89-1號,24.249444,121.106389,青山三機,104.12.29,"92,000",水
青山#4,42441台中市和平區天輪里東關路二段89-1號,24.249444,121.106389,青山四機,104.12.29,"92,000",水
谷關#1,42441台中市和平區天輪里東關路二段89-1號,24.213333,121.033611,谷關#1機,99.10.22,"54,450",水
谷關#2,42441台中市和平區天輪里東關路二段89-1號,24.213333,121.033611,谷關#2機,99.10.22,"54,450",水
谷關#3,42441台中市和平區天輪里東關路二段89-1號,24.213333,121.033611,谷關#3機,99.10.22,"54,450",水
谷關#4,42441台中市和平區天輪里東關路二段89-1號,24.213333,121.033611,谷關#4機,99.10.22,"54,450",水
